Date,Amount,Category,Description
2026-04-30,50.58,Other,Quarterly dental copay
2026-05-09,47.85,Entertainment,Netflix Family Plan
2026-04-27,1039.0,Rent & Housing,Target home organization
2026-04-28,974.0,Rent & Housing,Monthly Premium Apartment
2026-05-04,160.62,Shopping,Nike athletic sneakers
2026-05-07,44.95,Transportation,Gas Station fillup
2026-05-10,66.0,Utilities,Premium Cellular Plan
2026-05-15,96.21,Shopping,Nike athletic sneakers
2026-04-29,1012.0,Rent & Housing,IKEA study lamp
2026-05-02,23.38,Transportation,Metro Transit card
2026-04-27,55.87,Other,Elite Gym membership
2026-04-26,1072.0,Rent & Housing,IKEA study lamp
2026-05-10,94.0,Utilities,City Grid Power
2026-05-08,18.02,Other,Elite Gym membership
2026-04-21,219.67,Shopping,Designer sunglasses
2026-04-25,63.0,Utilities,Premium Cellular Plan
2026-05-12,46.78,Other,Elite Gym membership
2026-05-17,68.51,Transportation,Uber Ride premium
2026-04-27,68.0,Other,Elite Gym membership
2026-05-13,1360.0,Rent & Housing,Monthly Premium Apartment
2026-04-20,1162.0,Rent & Housing,Target home organization
2026-05-11,151.0,Utilities,Premium Cellular Plan
2026-05-09,869.0,Rent & Housing,IKEA study lamp
2026-05-06,57.0,Utilities,City Grid Power
2026-04-21,9.54,Transportation,Metro Transit card
