Date,Amount,Category,Description
2026-04-20,74.88,Entertainment,Vocal concert voucher
2026-04-20,19.87,Entertainment,Vocal concert voucher
2026-05-20,184.37,Shopping,Winter coat upgrade
2026-04-30,55.69,Transportation,Uber Ride premium
2026-05-12,137.0,Utilities,Fiber Gigabit Internet
2026-05-15,132.0,Utilities,City Grid Power
2026-04-21,55.73,Other,Quarterly dental copay
2026-04-24,56.2,Transportation,Metro Transit card
2026-05-10,287.89,Shopping,Designer sunglasses
2026-04-28,165.17,Shopping,Amazon delivery
2026-04-30,968.0,Rent & Housing,IKEA study lamp
2026-04-22,1388.0,Rent & Housing,Target home organization
2026-04-30,73.7,Entertainment,Netflix Family Plan
2026-05-18,19.61,Food & Dining,Whole Foods grocery
2026-05-11,932.0,Rent & Housing,Target home organization
2026-05-12,69.48,Entertainment,Local indie theater
2026-04-21,895.0,Rent & Housing,IKEA study lamp
2026-05-06,18.05,Transportation,Uber Ride premium
2026-05-03,1387.0,Rent & Housing,Monthly Premium Apartment
2026-04-20,82.24,Entertainment,Netflix Family Plan
2026-05-05,1245.0,Rent & Housing,IKEA study lamp
2026-05-15,878.0,Rent & Housing,Target home organization
2026-05-09,9.23,Entertainment,Spotify Premium
2026-05-17,62.09,Transportation,Uber Ride premium
2026-04-28,49.33,Food & Dining,Blue Bottle espresso
