Date,Amount,Category,Description
2026-05-07,34.49,Entertainment,Local indie theater
2026-05-17,38.16,Entertainment,Local indie theater
2026-05-08,127.0,Utilities,City Grid Power
2026-05-20,75.75,Entertainment,Spotify Premium
2026-05-11,90.0,Utilities,Premium Cellular Plan
2026-04-26,67.72,Food & Dining,Blue Bottle espresso
2026-05-17,7.21,Transportation,Uber Ride premium
2026-05-06,165.0,Utilities,Fiber Gigabit Internet
2026-05-11,89.0,Utilities,Premium Cellular Plan
2026-04-20,958.0,Rent & Housing,Target home organization
2026-05-12,51.63,Entertainment,Spotify Premium
2026-05-09,144.0,Utilities,Premium Cellular Plan
2026-05-09,37.68,Other,Eco dry cleaning
2026-05-17,1269.0,Rent & Housing,IKEA study lamp
2026-05-05,1363.0,Rent & Housing,IKEA study lamp
2026-04-30,65.0,Utilities,City Grid Power
2026-04-29,11.01,Other,Elite Gym membership
2026-05-07,66.4,Other,Eco dry cleaning
2026-04-22,860.0,Rent & Housing,Monthly Premium Apartment
2026-05-03,22.05,Entertainment,Netflix Family Plan
2026-05-06,82.81,Entertainment,Vocal concert voucher
2026-05-06,271.13,Shopping,Winter coat upgrade
2026-04-21,57.6,Other,Eco dry cleaning
2026-04-30,152.0,Utilities,City Grid Power
2026-05-06,76.0,Utilities,Fiber Gigabit Internet
